"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000011941",1860.41720214671,1.94520839633329,1.02542838409171,1.896971477005,0.0578317026936326,0.449410550196384
"ENSDARG00000011945",268.136342825266,0.348925706474285,1.29471501837696,0.269500006968092,0.787544936853636,0.968066566226885
"ENSDARG00000011948",2307.83407179845,-1.12154616037955,1.0807090795784,-1.03778730240434,0.299369089603821,0.78447470029041
"ENSDARG00000011955",178.017366508238,0.38496983729838,1.0416557067037,0.369574932312914,0.711699231801341,0.952009859974855
"ENSDARG00000011956",262.493517068747,-1.75842537404541,1.46946179241642,-1.19664586253299,0.231444616526708,0.730550643169834
"ENSDARG00000011958",168.810640209496,-3.36809547370555,1.32750216895334,-2.53716758622029,0.0111753442749372,0.213071171041383
"ENSDARG00000011961",578.74524947515,-0.828573256022608,1.08092784865631,-0.766538911040728,0.443355708444623,0.871013116124616
"ENSDARG00000011973",175.377345226173,-0.775256899624587,1.4494955379788,-0.534846006291003,0.592756347072123,0.921956782779192
"ENSDARG00000011975",13.229738943803,-2.17146026892218,2.375224609381,-0.914212601345554,0.360605143961119,0.825493416770676
"ENSDARG00000011983",28.478084703849,3.21296943910956,1.59425331622805,2.01534436617095,0.04386857931895,0.402567808111858
"ENSDARG00000011989",11401.3982676835,-2.56109929168157,1.55125823165524,-1.65098191868983,0.0987422670205307,0.548346740077567
"ENSDARG00000011998",86.0516677644183,-0.636927112045016,1.26225865810163,-0.504593181403025,0.61384459995665,0.926918816442033
"ENSDARG00000011999",29.7391443074558,-2.10800062619278,1.94228888526837,-1.08531776203905,0.277780941677905,0.767888492187132
"ENSDARG00000012002",115.423723484064,0.876202752546279,1.08846660363583,0.804988182108185,0.420826499487537,0.860864843747693
"ENSDARG00000012005",1372.74548187782,-1.26076598025069,1.16602113392078,-1.08125482769882,0.279583775233726,0.768205481099913
"ENSDARG00000012013",8.28973888702776,-0.465699480116463,2.3743740071196,-0.196135688278281,0.84450396350935,NA
"ENSDARG00000012016",44.2986150264387,0.690877330409361,1.45946980881954,0.4733755547627,0.635945266900448,0.932831897271539
"ENSDARG00000012019",30.7600939291884,1.52953539556643,1.52918430062436,1.00022959622455,0.317199409488658,0.795565979151462
"ENSDARG00000012021",247.951678650971,-0.323801102801938,1.28003742546623,-0.252962215291478,0.800297411582531,0.971851151996914
"ENSDARG00000012025",167.716923211885,-0.0329764981089838,1.16586919452314,-0.0282849038844977,0.977434920738704,0.999042519237008
"ENSDARG00000012030",127.940945807756,-1.75731796604511,1.33085820160625,-1.32043967112661,0.186688265786347,0.683201976241142
"ENSDARG00000012035",300.29109117043,-1.86718213754725,1.29995030658586,-1.43634885740452,0.150903098062924,0.634861349123586
"ENSDARG00000012039",520.211650224246,1.67076071276735,1.15944281333824,1.44100312110861,0.149583801039148,0.633703249025453
"ENSDARG00000012040",970.160806435116,-0.115125493330665,0.873659495831173,-0.131773870575445,0.895163154556372,0.985689183030246
"ENSDARG00000012044",3.54147270032626,-1.0931740422061,3.46033010674426,-0.315916114498867,0.752066180246869,NA
"ENSDARG00000012051",20.8054630281495,0.930984205042955,2.41342146263251,0.385752848997812,0.699679718529214,0.949721816385951
"ENSDARG00000012060",78.1154605100071,-1.3720328525946,1.25608575771202,-1.09230826332573,0.274697629488643,0.76506994027662
"ENSDARG00000012066",1824.95254191585,-0.659804615020651,1.14147642859141,-0.578027367446258,0.563245642486818,0.913475991814612
"ENSDARG00000012071",125.691812276644,-1.83509118755618,1.02570644499699,-1.78909979215503,0.0735987456469938,0.494484778375643
